학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,공학인증,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW1010,01,IT개론,3.0,"월,금 16:30~17:45 [K502]",3.0,이지선,0000000055,,,,,,전학년,2-4학년,융합소프트웨어연계전공(가능),융합소프트웨어연계전공자만 수강가능,융합소프트웨어연계전공자만 수강가능
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW2010,01,기초C언어,3.0,월 13:30~14:45 / 금 12:00~13:15 [K502],3.0,이지선,0000000048,,,,,,전학년,2-4학년,"전자공학전공,컴퓨터공학전공(불가능)","전자공학, 컴퓨터공학전공자 수강 불가",
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW2010,02,기초C언어,3.0,월 10:30~11:45 / 수 12:00~13:15 [K502],3.0,이지선,0000000034,,,,,,전학년,2-4학년,"전자공학전공,컴퓨터공학전공(불가능)","전자공학, 컴퓨터공학전공자 수강 불가",
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW3010,01,알고리즘입문,3.0,"화,목 15:00~16:15 [K303]",3.0,장직현,0000000059,,,,,,전학년,2-4학년,"전자공학전공,컴퓨터공학전공(불가능)","전자공학, 컴퓨터공학전공자 수강 불가",
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW3020,01,운영체제입문,3.0,"화,목 16:30~17:45 [K305]",3.0,전영표,0000000054,,,,,,전학년,2-4학년,"전자공학전공,컴퓨터공학전공(불가능)","전자공학, 컴퓨터공학전공자 수강 불가",
2018 학년도,1학기,학부,융합소프트웨어연계전공,CSW3040,01,소프트웨어공학입문,3.0,"화,목 12:00~13:15 [K307]",3.0,박수진,0000000031,,,,,,전학년,2-4학년,"전자공학전공,컴퓨터공학전공(불가능)","전자공학, 컴퓨터공학전공자 수강 불가",
2018 학년도,1학기,학부,전인교육원,CHS2001,01,한국문화와역사,3.0,"화,목 10:30~11:45 [K503]",3.0,정선용,0000000070,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,CHS2001,02,한국문화와역사,3.0,월 15:00~16:15 / 수 16:30~17:45 [K402],3.0,장준호,0000000079,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,CHS2002,01,현대한국의형성,3.0,월 12:00~13:15 / 금 10:30~11:45 [K401],3.0,박미아,0000000088,,,,,,전학년,1-2학년,,,국제학생(외국국적) 전용반
2018 학년도,1학기,학부,전인교육원,CHS2002,02,현대한국의형성,3.0,"수,금 09:00~10:15 [K201]",3.0,김혜정,0000000073,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,CHS2002,03,현대한국의형성,3.0,"화,목 16:30~17:45 [K503]",3.0,서진교,0000000070,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,CHS2002,04,현대한국의형성,3.0,월 15:00~16:15 / 수 16:30~17:45 [K407],3.0,채민석,0000000026,,,,,,전학년,1-2학년,,,국제학생(외국국적) 전용반
2018 학년도,1학기,학부,전인교육원,CHS2003,01,현대동아시아의형성,3.0,"화,목 09:00~10:15 [J102]",3.0,윤병남,0000000072,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,전인교육원,CHS2003,02,현대동아시아의형성,3.0,금 13:30~16:15 [J102],3.0,윤병남,0000000063,,,,,,전학년,1-2학년,,,부제: 아시아 공동체론의 역사적 전망(특강과조별토론)
